received_at_utc,gnss_time_utc,source,latitude_deg,longitude_deg,altitude_m,speed_kmh,heading_deg,fix_valid,fix_quality,satellites_used,satellites_in_view,hdop,vdop,pdop,raw_sentence_type
2026-09-08T05:30:00Z,,simulation,,,,,,false,no_fix,0,5,99.9,99.9,99.9,GGA+RMC
2026-09-08T05:30:01Z,,simulation,,,,,,false,no_fix,0,0,99.9,99.9,99.9,GGA+RMC
2026-09-08T05:30:02Z,,simulation,,,,,,false,no_fix,0,0,99.9,99.9,99.9,GGA+RMC
2026-09-08T05:30:03Z,,simulation,,,,,,false,no_fix,0,5,99.9,99.9,99.9,GGA+RMC
2026-09-08T05:30:04Z,,simulation,,,,,,false,no_fix,0,2,99.9,99.9,99.9,GGA+RMC
2026-09-08T05:30:05Z,,simulation,,,,,,false,no_fix,0,1,99.9,99.9,99.9,GGA+RMC
2026-09-08T05:30:06Z,,simulation,,,,,,false,no_fix,0,1,99.9,99.9,99.9,GGA+RMC
2026-09-08T05:30:07Z,,simulation,,,,,,false,no_fix,0,1,99.9,99.9,99.9,GGA+RMC
2026-09-08T05:30:08Z,2026-09-08T05:30:08Z,simulation,22.307168,73.181230,41.3,5.54,46.9,true,gps_fix,7,11,1.0,1.3,1.6,GGA+RMC
2026-09-08T05:30:09Z,2026-09-08T05:30:09Z,simulation,22.307177,73.181239,41.3,4.71,43.1,true,gps_fix,7,11,0.8,1.0,1.3,GGA+RMC
2026-09-08T05:30:10Z,2026-09-08T05:30:10Z,simulation,22.307186,73.181249,41.2,5.30,44.3,true,gps_fix,11,13,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:30:11Z,2026-09-08T05:30:11Z,simulation,22.307197,73.181259,41.3,5.77,40.4,true,gps_fix,9,11,0.8,1.0,1.3,GGA+RMC
2026-09-08T05:30:12Z,2026-09-08T05:30:12Z,simulation,22.307206,73.181268,41.2,4.93,44.0,true,gps_fix,7,9,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:30:13Z,2026-09-08T05:30:13Z,simulation,22.307217,73.181279,41.2,5.77,44.9,true,gps_fix,11,11,1.4,1.8,2.3,GGA+RMC
2026-09-08T05:30:14Z,2026-09-08T05:30:14Z,simulation,22.307226,73.181289,41.3,5.31,43.9,true,gps_fix,11,13,1.1,1.4,1.8,GGA+RMC
2026-09-08T05:30:15Z,2026-09-08T05:30:15Z,simulation,22.307234,73.181297,41.3,4.40,45.5,true,gps_fix,9,9,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:30:16Z,2026-09-08T05:30:16Z,simulation,22.307242,73.181307,41.2,5.00,48.5,true,gps_fix,9,10,1.0,1.3,1.6,GGA+RMC
2026-09-08T05:30:17Z,2026-09-08T05:30:17Z,simulation,22.307250,73.181317,41.4,4.80,46.1,true,gps_fix,12,12,1.1,1.4,1.8,GGA+RMC
2026-09-08T05:30:18Z,2026-09-08T05:30:18Z,simulation,22.307261,73.181327,41.3,5.63,43.5,true,gps_fix,10,12,1.4,1.8,2.3,GGA+RMC
2026-09-08T05:30:19Z,2026-09-08T05:30:19Z,simulation,22.307270,73.181337,41.3,5.32,44.6,true,gps_fix,7,8,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:30:20Z,2026-09-08T05:30:20Z,simulation,22.307279,73.181347,41.2,5.04,47.1,true,gps_fix,11,13,0.8,1.0,1.3,GGA+RMC
2026-09-08T05:30:21Z,2026-09-08T05:30:21Z,simulation,22.307289,73.181359,41.2,5.91,47.1,true,gps_fix,8,10,0.8,1.0,1.3,GGA+RMC
2026-09-08T05:30:22Z,2026-09-08T05:30:22Z,simulation,22.307297,73.181370,41.3,5.29,49.0,true,gps_fix,10,14,1.0,1.3,1.6,GGA+RMC
2026-09-08T05:30:23Z,2026-09-08T05:30:23Z,simulation,22.307308,73.181382,41.3,6.12,46.8,true,gps_fix,7,7,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:30:24Z,2026-09-08T05:30:24Z,simulation,22.307316,73.181390,41.4,4.61,44.0,true,gps_fix,11,11,1.0,1.3,1.6,GGA+RMC
2026-09-08T05:30:25Z,2026-09-08T05:30:25Z,simulation,22.307325,73.181400,41.3,5.16,44.8,true,gps_fix,11,11,1.2,1.6,2.0,GGA+RMC
2026-09-08T05:30:26Z,2026-09-08T05:30:26Z,simulation,22.307336,73.181411,41.4,5.91,41.7,true,gps_fix,12,14,0.8,1.0,1.3,GGA+RMC
2026-09-08T05:30:27Z,2026-09-08T05:30:27Z,simulation,22.307346,73.181420,41.5,5.14,41.2,true,gps_fix,12,14,1.4,1.8,2.3,GGA+RMC
2026-09-08T05:30:28Z,2026-09-08T05:30:28Z,simulation,22.307355,73.181430,41.4,5.23,43.3,true,gps_fix,12,14,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:30:29Z,2026-09-08T05:30:29Z,simulation,22.307364,73.181438,41.4,4.68,43.3,true,gps_fix,8,12,1.4,1.8,2.3,GGA+RMC
2026-09-08T05:30:30Z,2026-09-08T05:30:30Z,simulation,22.307374,73.181450,41.4,5.97,46.7,true,gps_fix,10,10,0.8,1.0,1.3,GGA+RMC
2026-09-08T05:30:31Z,2026-09-08T05:30:31Z,simulation,22.307385,73.181462,41.5,6.09,45.6,true,gps_fix,8,8,0.9,1.2,1.5,GGA+RMC
2026-09-08T05:30:32Z,2026-09-08T05:30:32Z,simulation,22.307392,73.181470,41.5,4.46,46.1,true,gps_fix,7,11,1.2,1.6,2.0,GGA+RMC
2026-09-08T05:30:33Z,2026-09-08T05:30:33Z,simulation,22.307402,73.181480,41.6,5.18,43.2,true,gps_fix,9,13,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:30:34Z,2026-09-08T05:30:34Z,simulation,22.307410,73.181488,41.6,4.70,42.6,true,gps_fix,12,13,1.2,1.6,2.0,GGA+RMC
2026-09-08T05:30:35Z,2026-09-08T05:30:35Z,simulation,22.307421,73.181498,41.5,5.53,41.7,true,gps_fix,11,14,0.8,1.0,1.3,GGA+RMC
2026-09-08T05:30:36Z,2026-09-08T05:30:36Z,simulation,22.307430,73.181507,41.6,4.93,39.5,true,gps_fix,8,12,0.9,1.2,1.5,GGA+RMC
2026-09-08T05:30:37Z,2026-09-08T05:30:37Z,simulation,22.307441,73.181516,41.5,5.46,36.1,true,gps_fix,7,9,0.7,0.9,1.1,GGA+RMC
2026-09-08T05:30:38Z,2026-09-08T05:30:38Z,simulation,22.307453,73.181524,41.4,5.52,34.0,true,gps_fix,8,12,1.1,1.4,1.8,GGA+RMC
2026-09-08T05:30:39Z,2026-09-08T05:30:39Z,simulation,22.307464,73.181531,41.4,5.17,32.0,true,gps_fix,7,7,1.2,1.6,2.0,GGA+RMC
2026-09-08T05:30:40Z,2026-09-08T05:30:40Z,simulation,22.307474,73.181538,41.5,5.06,30.8,true,gps_fix,7,7,0.7,0.9,1.1,GGA+RMC
2026-09-08T05:30:41Z,2026-09-08T05:30:41Z,simulation,22.307487,73.181547,41.4,5.76,32.6,true,gps_fix,8,9,1.1,1.4,1.8,GGA+RMC
2026-09-08T05:30:42Z,2026-09-08T05:30:42Z,simulation,22.307497,73.181553,41.3,4.65,29.7,true,gps_fix,7,10,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:30:43Z,2026-09-08T05:30:43Z,simulation,22.307506,73.181559,41.4,4.50,32.6,true,gps_fix,11,11,1.4,1.8,2.3,GGA+RMC
2026-09-08T05:30:44Z,2026-09-08T05:30:44Z,simulation,22.307518,73.181569,41.3,5.85,36.0,true,gps_fix,10,13,0.8,1.0,1.3,GGA+RMC
2026-09-08T05:30:45Z,2026-09-08T05:30:45Z,simulation,22.307527,73.181576,41.3,4.43,35.2,true,gps_fix,10,12,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:30:46Z,2026-09-08T05:30:46Z,simulation,22.307536,73.181583,41.3,4.83,37.5,true,gps_fix,12,16,1.2,1.6,2.0,GGA+RMC
2026-09-08T05:30:47Z,2026-09-08T05:30:47Z,simulation,22.307546,73.181591,41.2,4.66,37.4,true,gps_fix,7,11,1.2,1.6,2.0,GGA+RMC
2026-09-08T05:30:48Z,2026-09-08T05:30:48Z,simulation,22.307556,73.181598,41.1,4.88,33.9,true,gps_fix,10,14,1.3,1.7,2.1,GGA+RMC
2026-09-08T05:30:49Z,2026-09-08T05:30:49Z,simulation,22.307565,73.181605,41.1,4.42,34.1,true,gps_fix,8,8,1.1,1.4,1.8,GGA+RMC
2026-09-08T05:30:50Z,2026-09-08T05:30:50Z,simulation,22.307575,73.181613,41.0,4.74,35.5,true,gps_fix,11,12,1.1,1.4,1.8,GGA+RMC
2026-09-08T05:30:51Z,2026-09-08T05:30:51Z,simulation,22.307584,73.181619,41.0,4.47,31.8,true,gps_fix,11,15,0.9,1.2,1.5,GGA+RMC
2026-09-08T05:30:52Z,2026-09-08T05:30:52Z,simulation,22.307596,73.181626,41.0,5.53,29.9,true,gps_fix,9,12,0.8,1.0,1.3,GGA+RMC
2026-09-08T05:30:53Z,2026-09-08T05:30:53Z,simulation,22.307607,73.181634,41.1,5.14,31.1,true,gps_fix,7,7,1.0,1.3,1.6,GGA+RMC
2026-09-08T05:30:54Z,2026-09-08T05:30:54Z,simulation,22.307619,73.181643,41.0,6.11,35.1,true,gps_fix,8,12,0.9,1.2,1.5,GGA+RMC
2026-09-08T05:30:55Z,2026-09-08T05:30:55Z,simulation,22.307631,73.181653,41.1,5.91,38.5,true,gps_fix,9,11,0.8,1.0,1.3,GGA+RMC
2026-09-08T05:30:56Z,2026-09-08T05:30:56Z,simulation,22.307641,73.181663,41.1,5.59,41.2,true,gps_fix,12,16,0.7,0.9,1.1,GGA+RMC
2026-09-08T05:30:57Z,2026-09-08T05:30:57Z,simulation,22.307650,73.181672,41.2,4.86,43.8,true,gps_fix,8,10,0.8,1.0,1.3,GGA+RMC
